SiteId,Battery_1_Capacity,Battery_1_Power,Battery_1_Charge_Efficiency,Battery_1_Discharge_Efficiency,Battery_2_Capacity,Battery_2_Power,Battery_2_Charge_Efficiency,Battery_2_Discharge_Efficiency
1,300,75.0,0.95,0.95,600,150,0.95,0.95
2,600,150.0,0.95,0.95,1200,300,0.95,0.95
3,100,25.0,0.95,0.95,200,50,0.95,0.95
4,100,25.0,0.95,0.95,200,50,0.95,0.95
7,10,2.5,0.95,0.95,20,5,0.95,0.95
10,1500,375.0,0.95,0.95,3000,750,0.95,0.95
11,400,100.0,0.95,0.95,800,200,0.95,0.95
12,10,2.5,0.95,0.95,20,5,0.95,0.95
29,100,25.0,0.95,0.95,200,50,0.95,0.95
31,300,75.0,0.95,0.95,600,150,0.95,0.95
32,600,150.0,0.95,0.95,1200,300,0.95,0.95
